waveform_index,scheduled_s,completed_s,late_s,points_returned,points_saved
0,73945.805689653,73946.30665712,0.0004294059908716008,10000,2500
1,73945.80578965301,73946.570393311,0.5008824339893181,10000,2500
2,73945.805889653,73946.876965232,0.7645163760025753,10000,2500
3,73945.805989653,73947.176228424,1.0709817219903925,10000,2500
4,73945.80608965301,73947.42486929,1.3701513719861396,10000,2500
5,73945.806189653,73947.651542663,1.618687399008195,10000,2500
6,73945.806289653,73947.866827562,1.845268249991932,10000,2500
7,73945.80638965301,73948.13570136,2.060450476987171,10000,2500
8,73945.806489653,73948.366632046,2.3292243169998983,10000,2500
9,73945.806589653,73948.576262789,2.5600540049927076,10000,2500
10,73945.806689653,73948.783089245,2.7695854249905096,10000,2500
11,73945.806789653,73949.025295102,2.9763124250021065,10000,2500
12,73945.806889653,73949.266010072,3.2184180990007007,10000,2500
13,73945.806989653,73949.549212993,3.4590336459950777,10000,2500
14,73945.807089653,73949.772619169,3.7421358739957213,10000,2500
15,73945.807189653,73950.032338608,3.965441918000579,10000,2500
16,73945.807289653,73950.352758867,4.22506159999466,10000,2500
17,73945.807389653,73950.565932297,4.545383051998215,10000,2500
18,73945.807489653,73950.792864343,4.758455989998765,10000,2500
19,73945.807589653,73951.30121886,4.985287966992473,10000,2500
20,73945.807689653,73951.523696756,5.493541803996777,10000,2500
21,73945.807789653,73951.762119534,5.715918517991668,10000,2500
22,73945.807889653,73952.016019197,5.954241831990657,10000,2500
23,73945.807989653,73952.258244832,6.20804476000194,10000,2500
24,73945.808089653,73952.556913028,6.450167552000494,10000,2500
25,73945.808189653,73952.788389234,6.748737000991241,10000,2500
26,73945.80828965301,73953.007035908,6.980114597987267,10000,2500
27,73945.808389653,73953.279541081,7.198658969995449,10000,2500
28,73945.808489653,73953.552291321,7.471065645993804,10000,2500
29,73945.80858965301,73953.806786081,7.743713536983705,10000,2500
30,73945.808689653,73954.017893377,7.998110044994974,10000,2500
31,73945.808789653,73954.275343813,8.209115584992105,10000,2500
32,73945.80888965301,73954.480166248,8.46646016399609,10000,2500
33,73945.808989653,73954.754273271,8.671189321001293,10000,2500
34,73945.809089653,73955.010950341,8.945196709988522,10000,2500
35,73945.80918965301,73955.259778712,9.201766384983785,10000,2500
36,73945.809289653,73955.51666909,9.450505821005208,10000,2500
37,73945.809389653,73955.738753071,9.70729175300221,10000,2500
38,73945.80948965301,73956.077657103,9.929275329996017,10000,2500
39,73945.809589653,73956.452808436,10.268079129004036,10000,2500
40,73945.809689653,73956.72259183,10.643131788994651,10000,2500
41,73945.80978965301,73956.956244302,10.912814625989995,10000,2500
42,73945.809889653,73957.178673439,11.146367189998273,10000,2500
43,73945.809989653,73957.411889023,11.368696459991043,10000,2500
44,73945.81008965301,73957.680763586,11.60181363398442,10000,2500
45,73945.810189653,73957.901921161,11.870586232995265,10000,2500
46,73945.810289653,73958.150910792,12.091644147993065,10000,2500
47,73945.81038965301,73958.398230678,12.340532962989528,10000,2500
48,73945.810489653,73958.672800747,12.587754135005525,10000,2500
