sample_index,time_s,voltage_v,raw_digitizing_level
4752,-9.999999999999989e-08,-0.002,20992
4753,-9.959999999999986e-08,-0.0020078125,20991
4754,-9.919999999999983e-08,-0.002,20992
4755,-9.87999999999998e-08,-0.0020078125,20991
4756,-9.839999999999998e-08,-0.002,20992
4757,-9.799999999999995e-08,-0.002,20992
4758,-9.759999999999992e-08,-0.002,20992
4759,-9.719999999999989e-08,-0.002,20992
4760,-9.679999999999986e-08,-0.002,20992
4761,-9.639999999999983e-08,-0.0020078125,20991
4762,-9.59999999999998e-08,-0.0020078125,20991
4763,-9.559999999999998e-08,-0.0020078125,20991
4764,-9.519999999999995e-08,-0.0020078125,20991
4765,-9.479999999999992e-08,-0.0020078125,20991
4766,-9.439999999999989e-08,-0.0020078125,20991
4767,-9.399999999999986e-08,-0.002,20992
4768,-9.359999999999983e-08,-0.002,20992
4769,-9.31999999999998e-08,-0.002,20992
4770,-9.279999999999977e-08,-0.0040078125,20735
4771,-9.239999999999974e-08,-0.0020078125,20991
4772,-9.199999999999971e-08,-0.0040078125,20735
4773,-9.16000000000001e-08,-0.002,20992
4774,-9.120000000000008e-08,-0.002,20992
4775,-9.080000000000005e-08,-0.0020078125,20991
4776,-9.040000000000002e-08,-0.002,20992
4777,-8.999999999999999e-08,-0.0040078125,20735
4778,-8.959999999999996e-08,-0.0020078125,20991
4779,-8.919999999999993e-08,-0.0020078125,20991
4780,-8.87999999999999e-08,-0.0040078125,20735
4781,-8.839999999999987e-08,-0.0020078125,20991
4782,-8.799999999999984e-08,-0.0020078125,20991
4783,-8.75999999999998e-08,0.0,21248
4784,-8.719999999999977e-08,-0.0020078125,20991
4785,-8.679999999999974e-08,-0.002,20992
4786,-8.639999999999971e-08,-0.0020078125,20991
4787,-8.600000000000011e-08,-0.002,20992
4788,-8.560000000000008e-08,-0.0020078125,20991
4789,-8.520000000000005e-08,-0.002,20992
4790,-8.480000000000002e-08,-0.0020078125,20991
4791,-8.439999999999999e-08,-0.002,20992
4792,-8.399999999999996e-08,-0.002,20992
4793,-8.359999999999993e-08,-0.0020078125,20991
4794,-8.31999999999999e-08,-7.8125e-06,21247
4795,-8.279999999999987e-08,-0.0020078125,20991
4796,-8.239999999999984e-08,-0.002,20992
4797,-8.199999999999981e-08,-0.0020078125,20991
4798,-8.159999999999978e-08,-0.002,20992
4799,-8.119999999999975e-08,-0.002,20992
4800,-8.079999999999972e-08,-0.0020078125,20991
4801,-8.040000000000011e-08,-0.002,20992
4802,-8.000000000000008e-08,-0.002,20992
4803,-7.960000000000005e-08,-7.8125e-06,21247
4804,-7.920000000000002e-08,-0.0020078125,20991
4805,-7.879999999999999e-08,-0.0020078125,20991
4806,-7.839999999999996e-08,-0.0020078125,20991
4807,-7.799999999999993e-08,-0.0020078125,20991
4808,-7.75999999999999e-08,-0.002,20992
4809,-7.719999999999987e-08,-0.0020078125,20991
4810,-7.679999999999984e-08,-0.002,20992
4811,-7.639999999999981e-08,-0.002,20992
4812,-7.599999999999978e-08,-0.002,20992
4813,-7.559999999999975e-08,-0.002,20992
4814,-7.519999999999972e-08,-0.004,20736
4815,-7.479999999999969e-08,-0.0020078125,20991
4816,-7.440000000000008e-08,-0.0020078125,20991
4817,-7.400000000000005e-08,-0.0020078125,20991
4818,-7.360000000000002e-08,0.0,21248
4819,-7.32e-08,-0.002,20992
4820,-7.279999999999996e-08,-0.0020078125,20991
4821,-7.239999999999993e-08,-0.002,20992
4822,-7.19999999999999e-08,-0.002,20992
4823,-7.159999999999987e-08,-0.004,20736
4824,-7.119999999999984e-08,-0.0020078125,20991
4825,-7.079999999999981e-08,-0.002,20992
4826,-7.039999999999978e-08,-0.002,20992
4827,-6.999999999999975e-08,-0.0020078125,20991
4828,-6.959999999999972e-08,-7.8125e-06,21247
4829,-6.919999999999969e-08,-0.002,20992
4830,-6.880000000000009e-08,-0.0020078125,20991
4831,-6.840000000000006e-08,-0.0020078125,20991
4832,-6.800000000000003e-08,-0.0020078125,20991
4833,-6.76e-08,-0.004,20736
4834,-6.719999999999997e-08,-0.002,20992
4835,-6.679999999999994e-08,-0.002,20992
4836,-6.63999999999999e-08,-0.0020078125,20991
4837,-6.599999999999988e-08,-0.0020078125,20991
4838,-6.559999999999985e-08,-0.002,20992
4839,-6.519999999999982e-08,-0.0020078125,20991
4840,-6.479999999999979e-08,-0.0020078125,20991
4841,-6.439999999999976e-08,-0.0020078125,20991
4842,-6.399999999999973e-08,-0.0020078125,20991
4843,-6.35999999999997e-08,-0.0020078125,20991
4844,-6.320000000000009e-08,-0.0020078125,20991
