sample_index,time_s,voltage_v,raw_digitizing_level
4750,-9.999999999999989e-08,-0.00034,10752
4751,-9.959999999999986e-08,-0.00034015625,10751
4752,-9.919999999999983e-08,-0.00030015625,11007
4753,-9.87999999999998e-08,-0.00022015625000000003,11519
4754,-9.839999999999977e-08,-0.00022015625000000003,11519
4755,-9.799999999999974e-08,-0.00022015625000000003,11519
4756,-9.759999999999992e-08,-0.00014000000000000001,12032
4757,-9.719999999999989e-08,-0.00014015625,12031
4758,-9.679999999999986e-08,-0.00022,11520
4759,-9.639999999999983e-08,-0.00026000000000000003,11264
4760,-9.59999999999998e-08,-0.00034,10752
4761,-9.559999999999977e-08,-0.00038015625,10495
4762,-9.519999999999974e-08,-0.00034015625,10751
4763,-9.479999999999992e-08,-0.00030000000000000003,11008
4764,-9.439999999999989e-08,-0.00030000000000000003,11008
4765,-9.399999999999986e-08,-0.00034015625,10751
4766,-9.359999999999983e-08,-0.00030015625,11007
4767,-9.31999999999998e-08,-0.00030000000000000003,11008
4768,-9.279999999999977e-08,-0.00030000000000000003,11008
4769,-9.239999999999974e-08,-0.00034,10752
4770,-9.199999999999971e-08,-0.00038015625,10495
4771,-9.159999999999968e-08,-0.00042015625,10239
4772,-9.119999999999965e-08,-0.00038015625,10495
4773,-9.080000000000005e-08,-0.00038,10496
4774,-9.040000000000002e-08,-0.00042015625,10239
4775,-8.999999999999999e-08,-0.00046015625000000006,9983
4776,-8.959999999999996e-08,-0.0005,9728
4777,-8.919999999999993e-08,-0.00054,9472
4778,-8.87999999999999e-08,-0.00054,9472
4779,-8.839999999999987e-08,-0.00046015625000000006,9983
4780,-8.799999999999984e-08,-0.00034015625,10751
4781,-8.75999999999998e-08,-0.00030015625,11007
4782,-8.719999999999977e-08,-0.00022,11520
4783,-8.679999999999974e-08,-0.00034,10752
4784,-8.639999999999971e-08,-0.00038,10496
4785,-8.599999999999968e-08,-0.00038015625,10495
4786,-8.559999999999965e-08,-0.00046,9984
4787,-8.520000000000005e-08,-0.0005401562500000001,9471
4788,-8.480000000000002e-08,-0.00054,9472
4789,-8.439999999999999e-08,-0.00058,9216
4790,-8.399999999999996e-08,-0.0005,9728
4791,-8.359999999999993e-08,-0.00042,10240
4792,-8.31999999999999e-08,-0.00030000000000000003,11008
4793,-8.279999999999987e-08,-0.00014015625,12031
4794,-8.239999999999984e-08,-0.00022015625000000003,11519
4795,-8.199999999999981e-08,-0.00026015625,11263
4796,-8.159999999999978e-08,-0.00046015625000000006,9983
4797,-8.119999999999975e-08,-0.0005401562500000001,9471
4798,-8.079999999999972e-08,-0.00058015625,9215
4799,-8.039999999999969e-08,-0.0005,9728
4800,-7.999999999999966e-08,-0.00046,9984
4801,-7.960000000000005e-08,-0.00046,9984
4802,-7.920000000000002e-08,-0.0005401562500000001,9471
4803,-7.879999999999999e-08,-0.00066015625,8703
4804,-7.839999999999996e-08,-0.00074015625,8191
4805,-7.799999999999993e-08,-0.0007400000000000001,8192
4806,-7.75999999999999e-08,-0.00058,9216
4807,-7.719999999999987e-08,-0.00042015625,10239
4808,-7.679999999999984e-08,-0.00034,10752
4809,-7.639999999999981e-08,-0.00038015625,10495
4810,-7.599999999999978e-08,-0.0005001562500000001,9727
4811,-7.559999999999975e-08,-0.00070015625,8447
4812,-7.519999999999972e-08,-0.00070015625,8447
4813,-7.479999999999969e-08,-0.0005401562500000001,9471
4814,-7.439999999999966e-08,-0.00030015625,11007
4815,-7.399999999999963e-08,-0.00022,11520
4816,-7.360000000000002e-08,-0.00022015625000000003,11519
4817,-7.32e-08,-0.00034,10752
4818,-7.279999999999996e-08,-0.00046015625000000006,9983
4819,-7.239999999999993e-08,-0.0005,9728
4820,-7.19999999999999e-08,-0.00046015625000000006,9983
4821,-7.159999999999987e-08,-0.00038,10496
4822,-7.119999999999984e-08,-0.00034015625,10751
4823,-7.079999999999981e-08,-0.00034,10752
4824,-7.039999999999978e-08,-0.00030000000000000003,11008
4825,-6.999999999999975e-08,-0.00022015625000000003,11519
4826,-6.959999999999972e-08,-0.00014015625,12031
4827,-6.919999999999969e-08,-0.00010015625000000001,12287
4828,-6.879999999999966e-08,-6.000000000000001e-05,12544
4829,-6.839999999999963e-08,-2.0156250000000002e-05,12799
4830,-6.800000000000003e-08,-2e-05,12800
4831,-6.76e-08,-0.0001,12288
4832,-6.719999999999997e-08,-0.00030015625,11007
4833,-6.679999999999994e-08,-0.00046,9984
4834,-6.63999999999999e-08,-0.00058,9216
4835,-6.599999999999988e-08,-0.00062015625,8959
4836,-6.559999999999985e-08,-0.00066015625,8703
4837,-6.519999999999982e-08,-0.00066015625,8703
4838,-6.479999999999979e-08,-0.00058015625,9215
4839,-6.439999999999976e-08,-0.00046015625000000006,9983
4840,-6.399999999999973e-08,-0.00026000000000000003,11264
4841,-6.35999999999997e-08,-0.00018015625,11775
4842,-6.319999999999967e-08,-0.00018,11776
4843,-6.279999999999964e-08,-0.00018,11776
4844,-6.240000000000003e-08,-0.00014000000000000001,12032
4845,-6.2e-08,-0.0001,12288
4846,-6.159999999999997e-08,-0.0001,12288
4847,-6.119999999999994e-08,-6.015625e-05,12543
4848,-6.079999999999991e-08,-2.0156250000000002e-05,12799
4849,-6.039999999999988e-08,-6.015625e-05,12543
4850,-5.999999999999985e-08,-2e-05,12800
4851,-5.959999999999982e-08,-2e-05,12800
4852,-5.919999999999979e-08,-6.015625e-05,12543
4853,-5.879999999999976e-08,-6.000000000000001e-05,12544
4854,-5.839999999999973e-08,-2e-05,12800
4855,-5.79999999999997e-08,-6.000000000000001e-05,12544
4856,-5.759999999999967e-08,-2.0156250000000002e-05,12799
4857,-5.719999999999964e-08,-0.0001,12288
4858,-5.680000000000003e-08,-0.00026000000000000003,11264
4859,-5.64e-08,-0.00042015625,10239
4860,-5.599999999999997e-08,-0.00042015625,10239
4861,-5.559999999999994e-08,-0.00042,10240
4862,-5.519999999999991e-08,-0.00034015625,10751
4863,-5.479999999999988e-08,-0.00026015625,11263
4864,-5.439999999999985e-08,-0.00030015625,11007
4865,-5.399999999999982e-08,-0.00026000000000000003,11264
4866,-5.359999999999979e-08,-0.00030000000000000003,11008
4867,-5.319999999999976e-08,-0.00030000000000000003,11008
4868,-5.279999999999973e-08,-0.00030015625,11007
4869,-5.23999999999997e-08,-0.00034015625,10751
4870,-5.199999999999967e-08,-0.00042,10240
4871,-5.159999999999964e-08,-0.0005401562500000001,9471
4872,-5.1200000000000035e-08,-0.0005401562500000001,9471
4873,-5.0800000000000005e-08,-0.00046015625000000006,9983
4874,-5.0399999999999975e-08,-0.00038015625,10495
4875,-4.9999999999999945e-08,-0.00042015625,10239
4876,-4.9599999999999915e-08,-0.0005001562500000001,9727
4877,-4.9199999999999885e-08,-0.00042,10240
4878,-4.8799999999999855e-08,-0.00038,10496
4879,-4.8399999999999825e-08,-0.00034015625,10751
4880,-4.7999999999999795e-08,-0.00034,10752
4881,-4.7599999999999764e-08,-0.00038015625,10495
4882,-4.7199999999999734e-08,-0.00034,10752
4883,-4.6799999999999704e-08,-0.00034,10752
4884,-4.6399999999999674e-08,-0.00034015625,10751
4885,-4.5999999999999644e-08,-0.00042,10240
4886,-4.560000000000004e-08,-0.00034,10752
4887,-4.520000000000001e-08,-0.00030000000000000003,11008
4888,-4.479999999999998e-08,-0.00026015625,11263
4889,-4.439999999999995e-08,-0.00014015625,12031
4890,-4.399999999999992e-08,-0.00014000000000000001,12032
4891,-4.359999999999989e-08,-0.00022015625000000003,11519
4892,-4.319999999999986e-08,-0.00026015625,11263
4893,-4.279999999999983e-08,-0.00042,10240
4894,-4.23999999999998e-08,-0.0005401562500000001,9471
4895,-4.199999999999977e-08,-0.0005401562500000001,9471
4896,-4.159999999999974e-08,-0.00042015625,10239
4897,-4.119999999999971e-08,-0.00038015625,10495
4898,-4.079999999999968e-08,-0.00026000000000000003,11264
4899,-4.039999999999965e-08,-0.00022,11520
4900,-4.000000000000004e-08,-0.00022015625000000003,11519
4901,-3.960000000000001e-08,-0.00026015625,11263
4902,-3.919999999999998e-08,-0.00038,10496
4903,-3.879999999999995e-08,-0.00046015625000000006,9983
4904,-3.839999999999992e-08,-0.00042,10240
4905,-3.799999999999989e-08,-0.00038,10496
4906,-3.759999999999986e-08,-0.00022015625000000003,11519
4907,-3.719999999999983e-08,-0.00014000000000000001,12032
4908,-3.67999999999998e-08,-0.00014000000000000001,12032
4909,-3.639999999999977e-08,-0.00022015625000000003,11519
4910,-3.599999999999974e-08,-0.00034,10752
4911,-3.559999999999971e-08,-0.00030015625,11007
