sample_index,time_s,voltage_v,raw_digitizing_level
4412,-1.9960000000000017e-07,-0.0008,13824
4413,-1.9920000000000014e-07,-0.0008,13824
4414,-1.988000000000001e-07,-0.0016,13568
4415,-1.9840000000000008e-07,-0.0016,13568
4416,-1.9800000000000005e-07,-0.0016,13568
4417,-1.9760000000000023e-07,-0.0016,13568
4418,-1.972000000000002e-07,-0.0008,13824
4419,-1.9680000000000017e-07,-0.0016,13568
4420,-1.9640000000000014e-07,-0.0008,13824
4421,-1.9600000000000011e-07,-0.0008,13824
4422,-1.9560000000000008e-07,-0.0008,13824
4423,-1.9520000000000005e-07,-0.0008,13824
4424,-1.9480000000000024e-07,-0.0008,13824
4425,-1.944000000000002e-07,0.0,14080
4426,-1.9400000000000018e-07,0.0,14080
4427,-1.9360000000000015e-07,-0.0008,13824
4428,-1.9320000000000012e-07,-0.0008,13824
4429,-1.9280000000000009e-07,-0.0016,13568
4430,-1.9240000000000006e-07,-0.0016,13568
4431,-1.9200000000000024e-07,-0.0016,13568
4432,-1.916000000000002e-07,-0.0016,13568
4433,-1.9120000000000018e-07,-0.0016,13568
4434,-1.9080000000000015e-07,-0.0016,13568
4435,-1.9040000000000012e-07,-0.0016,13568
4436,-1.9000000000000009e-07,-0.0008,13824
4437,-1.8960000000000006e-07,-0.0008,13824
4438,-1.8920000000000024e-07,-0.0008,13824
4439,-1.888000000000002e-07,0.0,14080
4440,-1.8840000000000018e-07,-0.0016,13568
4441,-1.8800000000000015e-07,-0.0008,13824
4442,-1.8760000000000012e-07,-0.0016,13568
4443,-1.872000000000001e-07,-0.0016,13568
4444,-1.8680000000000006e-07,-0.0008,13824
4445,-1.8640000000000024e-07,-0.0016,13568
4446,-1.860000000000002e-07,-0.0016,13568
4447,-1.8560000000000018e-07,-0.0008,13824
4448,-1.8520000000000015e-07,-0.0016,13568
4449,-1.8480000000000012e-07,-0.0016,13568
4450,-1.844000000000001e-07,-0.0008,13824
4451,-1.8400000000000006e-07,-0.0008,13824
4452,-1.8360000000000003e-07,-0.0008,13824
4453,-1.832000000000002e-07,-0.0008,13824
4454,-1.8280000000000018e-07,-0.0016,13568
4455,-1.8240000000000015e-07,-0.0008,13824
4456,-1.8200000000000012e-07,0.0,14080
4457,-1.816000000000001e-07,0.0,14080
4458,-1.8120000000000006e-07,-0.0008,13824
4459,-1.8080000000000003e-07,-0.0008,13824
4460,-1.804000000000002e-07,-0.0016,13568
4461,-1.8000000000000018e-07,-0.0024000000000000002,13312
4462,-1.7960000000000015e-07,-0.0016,13568
4463,-1.7920000000000012e-07,-0.0008,13824
4464,-1.788000000000001e-07,-0.0008,13824
4465,-1.7840000000000006e-07,-0.0008,13824
4466,-1.7800000000000003e-07,-0.0016,13568
4467,-1.7760000000000021e-07,-0.0016,13568
4468,-1.7720000000000018e-07,-0.0016,13568
4469,-1.7680000000000015e-07,-0.0016,13568
4470,-1.7640000000000012e-07,-0.0008,13824
4471,-1.760000000000001e-07,-0.0016,13568
4472,-1.7560000000000006e-07,-0.0016,13568
4473,-1.7520000000000003e-07,-0.0008,13824
4474,-1.7480000000000022e-07,-0.0016,13568
4475,-1.7440000000000019e-07,-0.0016,13568
4476,-1.7400000000000016e-07,-0.0008,13824
4477,-1.7360000000000013e-07,-0.0016,13568
4478,-1.732000000000001e-07,-0.0016,13568
4479,-1.7280000000000007e-07,-0.0008,13824
4480,-1.7240000000000003e-07,-0.0008,13824
4481,-1.7200000000000022e-07,-0.0008,13824
4482,-1.7160000000000019e-07,-0.0008,13824
4483,-1.7120000000000016e-07,-0.0008,13824
4484,-1.7080000000000013e-07,-0.0008,13824
4485,-1.704000000000001e-07,-0.0008,13824
4486,-1.7000000000000007e-07,-0.0016,13568
4487,-1.6960000000000004e-07,0.0,14080
4488,-1.6920000000000022e-07,-0.0016,13568
4489,-1.688000000000002e-07,-0.0016,13568
4490,-1.6840000000000016e-07,-0.0016,13568
4491,-1.6800000000000013e-07,0.0,14080
