sample_index,time_s,voltage_v,raw_digitizing_level
3750,-1.451999999999999e-07,0.074,37
3751,-1.4479999999999987e-07,0.074,37
3752,-1.4439999999999984e-07,0.074,37
3753,-1.439999999999998e-07,0.076,38
3754,-1.4359999999999978e-07,0.076,38
3755,-1.4319999999999996e-07,0.074,37
3756,-1.4279999999999993e-07,0.074,37
3757,-1.423999999999999e-07,0.076,38
3758,-1.4199999999999987e-07,0.07200000000000001,36
3759,-1.4159999999999984e-07,0.074,37
3760,-1.411999999999998e-07,0.07200000000000001,36
3761,-1.4079999999999978e-07,0.074,37
3762,-1.4039999999999996e-07,0.076,38
3763,-1.3999999999999993e-07,0.074,37
3764,-1.395999999999999e-07,0.074,37
3765,-1.3919999999999987e-07,0.074,37
3766,-1.3879999999999984e-07,0.074,37
3767,-1.383999999999998e-07,0.074,37
3768,-1.3799999999999978e-07,0.074,37
3769,-1.3759999999999996e-07,0.074,37
3770,-1.3719999999999993e-07,0.076,38
3771,-1.367999999999999e-07,0.076,38
3772,-1.3639999999999987e-07,0.074,37
3773,-1.3599999999999984e-07,0.074,37
3774,-1.355999999999998e-07,0.076,38
3775,-1.3519999999999978e-07,0.074,37
3776,-1.3479999999999996e-07,0.074,37
3777,-1.3439999999999993e-07,0.076,38
3778,-1.339999999999999e-07,0.076,38
3779,-1.3359999999999987e-07,0.076,38
3780,-1.3319999999999984e-07,0.078,39
3781,-1.327999999999998e-07,0.074,37
3782,-1.3239999999999978e-07,0.076,38
3783,-1.3199999999999996e-07,0.076,38
3784,-1.3159999999999993e-07,0.078,39
3785,-1.311999999999999e-07,0.074,37
3786,-1.3079999999999987e-07,0.074,37
3787,-1.3039999999999984e-07,0.076,38
3788,-1.2999999999999981e-07,0.076,38
3789,-1.2959999999999978e-07,0.076,38
3790,-1.2919999999999997e-07,0.076,38
3791,-1.2879999999999994e-07,0.074,37
3792,-1.283999999999999e-07,0.076,38
3793,-1.2799999999999988e-07,0.076,38
3794,-1.2759999999999985e-07,0.076,38
3795,-1.2719999999999982e-07,0.074,37
3796,-1.2679999999999979e-07,0.076,38
3797,-1.2639999999999997e-07,0.076,38
3798,-1.2599999999999994e-07,0.07200000000000001,36
3799,-1.255999999999999e-07,0.074,37
3800,-1.2519999999999988e-07,0.076,38
3801,-1.2479999999999985e-07,0.074,37
3802,-1.2439999999999982e-07,0.074,37
3803,-1.239999999999998e-07,0.074,37
3804,-1.2359999999999997e-07,0.074,37
3805,-1.2319999999999994e-07,0.074,37
3806,-1.227999999999999e-07,0.076,38
3807,-1.2239999999999988e-07,0.076,38
3808,-1.2199999999999985e-07,0.076,38
3809,-1.2159999999999982e-07,0.076,38
3810,-1.211999999999998e-07,0.074,37
3811,-1.2079999999999997e-07,0.074,37
3812,-1.2039999999999994e-07,0.076,38
3813,-1.199999999999999e-07,0.076,38
3814,-1.1959999999999988e-07,0.074,37
3815,-1.1919999999999985e-07,0.076,38
3816,-1.1879999999999982e-07,0.074,37
3817,-1.1839999999999979e-07,0.076,38
3818,-1.1799999999999997e-07,0.074,37
3819,-1.1759999999999994e-07,0.074,37
3820,-1.1719999999999991e-07,0.076,38
3821,-1.1679999999999988e-07,0.076,38
3822,-1.1639999999999985e-07,0.076,38
3823,-1.1599999999999982e-07,0.074,37
3824,-1.1559999999999979e-07,0.074,37
3825,-1.1519999999999997e-07,0.074,37
3826,-1.1479999999999994e-07,0.074,37
3827,-1.1439999999999991e-07,0.074,37
3828,-1.1399999999999988e-07,0.076,38
3829,-1.1359999999999985e-07,0.074,37
3830,-1.1319999999999982e-07,0.076,38
3831,-1.1279999999999979e-07,0.074,37
3832,-1.1239999999999997e-07,0.074,37
3833,-1.1199999999999994e-07,0.074,37
3834,-1.1159999999999991e-07,0.074,37
3835,-1.1119999999999988e-07,0.076,38
3836,-1.1079999999999985e-07,0.074,37
3837,-1.1039999999999982e-07,0.074,37
3838,-1.099999999999998e-07,0.074,37
3839,-1.0959999999999998e-07,0.074,37
3840,-1.0919999999999995e-07,0.076,38
3841,-1.0879999999999992e-07,0.074,37
3842,-1.0839999999999989e-07,0.074,37
3843,-1.0799999999999986e-07,0.076,38
3844,-1.0759999999999983e-07,0.076,38
3845,-1.071999999999998e-07,0.078,39
3846,-1.0679999999999998e-07,0.074,37
3847,-1.0639999999999995e-07,0.076,38
3848,-1.0599999999999992e-07,0.074,37
3849,-1.0559999999999989e-07,0.076,38
3850,-1.0519999999999986e-07,0.076,38
3851,-1.0479999999999983e-07,0.074,37
3852,-1.043999999999998e-07,0.074,37
3853,-1.0399999999999998e-07,0.074,37
3854,-1.0359999999999995e-07,0.074,37
3855,-1.0319999999999992e-07,0.074,37
3856,-1.0279999999999989e-07,0.076,38
3857,-1.0239999999999986e-07,0.074,37
3858,-1.0199999999999983e-07,0.076,38
3859,-1.015999999999998e-07,0.074,37
3860,-1.0119999999999998e-07,0.074,37
3861,-1.0079999999999995e-07,0.074,37
3862,-1.0039999999999992e-07,0.074,37
3863,-9.999999999999989e-08,0.074,37
3864,-9.959999999999986e-08,0.076,38
3865,-9.919999999999983e-08,0.074,37
3866,-9.87999999999998e-08,0.074,37
3867,-9.839999999999998e-08,0.076,38
3868,-9.799999999999995e-08,0.076,38
3869,-9.759999999999992e-08,0.074,37
3870,-9.719999999999989e-08,0.076,38
3871,-9.679999999999986e-08,0.076,38
3872,-9.639999999999983e-08,0.076,38
3873,-9.59999999999998e-08,0.076,38
